No,year,month,day,hour,Speed,Temperature
0,2017,4,1,1,0.2903,7.4925
1,2017,4,1,2,0.269,7.0872
2,2017,4,1,3,0.8758,6.5038
3,2017,4,1,4,1.215,6.2308
4,2017,4,1,5,0.8508,7.1569
5,2017,4,1,6,0.6837,7.6144
6,2017,4,1,7,0.3284,7.4855
7,2017,4,1,8,0.6041,9.1373
8,2017,4,1,9,0.6451,11.0147
9,2017,4,1,10,1.1969,12.4015
10,2017,4,1,11,1.3438,13.3147
11,2017,4,1,12,1.3895,13.684
12,2017,4,1,13,1.6076,12.5817
13,2017,4,1,14,1.3398,11.8505
14,2017,4,1,15,1.5704,12.5755
15,2017,4,1,16,1.6325,13.3233
16,2017,4,1,17,1.8976,13.6423
17,2017,4,1,18,2.5081,13.2063
18,2017,4,1,19,1.636,12.6968
19,2017,4,1,20,1.1469,12.1962
20,2017,4,1,21,0.3836,11.2307
21,2017,4,1,22,0.4203,10.2462
22,2017,4,1,23,0.9468,10.3315
23,2017,4,2,0,0.3574,9.869
24,2017,4,2,1,2.6404,9.4747
25,2017,4,2,2,3.1468,8.9533
26,2017,4,2,3,3.712,8.5425
27,2017,4,2,4,2.1418,8.02
28,2017,4,2,5,1.9617,7.4305
29,2017,4,2,6,1.6313,7.0276
30,2017,4,2,7,0.7214,6.9398
31,2017,4,2,8,1.7427,7.9345
32,2017,4,2,9,2.6775,9.1945
33,2017,4,2,10,2.8384,10.3017
34,2017,4,2,11,3.2584,11.3378
35,2017,4,2,12,3.1998,12.0707
36,2017,4,2,13,3.1665,12.8642
37,2017,4,2,14,3.5248,13.4305
38,2017,4,2,15,3.1569,13.4198
39,2017,4,2,16,2.8293,13.6773
40,2017,4,2,17,2.6425,13.3245
41,2017,4,2,18,2.6475,12.474
42,2017,4,2,19,3.0266,10.9355
43,2017,4,2,20,2.8332,9.913
44,2017,4,2,21,2.2416,9.0197
45,2017,4,2,22,2.3473,8.1457
46,2017,4,2,23,3.0516,7.3194
47,2017,4,3,0,2.1373,6.7079
48,2017,4,3,1,0.9279,6.1542
49,2017,4,3,2,1.0791,5.5921
50,2017,4,3,3,1.5955,4.8948
51,2017,4,3,4,0.3005,4.3274
52,2017,4,3,5,0.2315,3.6451
